['"1421174872644"', '"1023"', '"0"', '"0"', '"255"', '"0"', '"1"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1421174872738"', '"1023"', '"0"', '"0"', '"255"', '"0"', '"1"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1421174872890"', '"1023"', '"0"', '"0"', '"255"', '"0"', '"1"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1421174872968"', '"712"', '"524"', '"656"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],15,132,0.074,0.000773056951324
['"1421174873049"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174873152"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174873246"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174873352"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174873447"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174873553"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174873643"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174873750"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174873856"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174873950"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174874057"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174874147"', '"736"', '"533"', '"737"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,204,0.118,0.0011924433345
['"1421174874254"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874348"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174874454"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874544"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874659"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874749"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874856"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174874950"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875056"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875151"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174875257"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875367"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174875454"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174875560"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875654"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875760"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174875855"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174875962"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174876068"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876162"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174876264"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876354"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876461"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876572"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876658"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876768"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876858"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174876965"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174877059"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877166"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174877272"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877363"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877473"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877563"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"510"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877669"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877760"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877866"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174877973"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"511"'],24,203,0.118,0.0011864691695
['"1421174878067"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174878169"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174878263"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
['"1421174878370"', '"736"', '"533"', '"736"', '"18"', '"203"', '"3"', '"s0000"', '"509"', '"509"', '"510"'],24,203,0.118,0.0011888588355
