['"1416607430023"', '"917"', '"511"', '"916"', '"255"', '"7"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],4,405,0.02,0.000174540737206
['"1416607431034"', '"936"', '"511"', '"935"', '"255"', '"7"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],4,424,0.02,0.000183120601217
['"1416607432038"', '"954"', '"512"', '"953"', '"255"', '"7"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],5,441,0.0205,0.000190680543958
['"1416607433041"', '"972"', '"512"', '"972"', '"255"', '"7"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],5,460,0.022,0.000198329953477
['"1416607434045"', '"990"', '"512"', '"988"', '"255"', '"7"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],5,476,0.024,0.00020571990934
['"1416607435044"', '"1006"', '"512"', '"1006"', '"255"', '"8"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],5,494,0.025,0.000213315638793
['"1416607436056"', '"1005"', '"512"', '"1004"', '"245"', '"8"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],5,492,0.0245,0.000226907277817
['"1416607437060"', '"1000"', '"513"', '"1000"', '"235"', '"8"', '"5"', '"s0000"', '"508"', '"507"', '"509"'],6,487,0.0255,0.000244167277237
['"1416607438063"', '"1018"', '"513"', '"1018"', '"235"', '"8"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],6,505,0.0265,0.000238306022142
['"1416607439062"', '"1008"', '"513"', '"1008"', '"225"', '"8"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],6,495,0.029,0.000257817332494
['"1416607440078"', '"1001"', '"513"', '"1000"', '"215"', '"9"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],6,487,0.03,0.000268630583717
['"1416607441082"', '"997"', '"513"', '"996"', '"205"', '"9"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],6,483,0.03,0.000276591907651
['"1416607442089"', '"1019"', '"513"', '"1019"', '"205"', '"9"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],6,506,0.0295,0.000291671656806
['"1416607443089"', '"1008"', '"514"', '"1008"', '"195"', '"9"', '"2"', '"s0000"', '"508"', '"508"', '"509"'],6,494,0.03,0.000275583091644
['"1416607444096"', '"998"', '"513"', '"995"', '"185"', '"9"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],6,482,0.0325,0.000282817180994
['"1416607445100"', '"1014"', '"514"', '"1013"', '"185"', '"10"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],7,499,0.035,0.000311800065724
['"1416607446107"', '"1006"', '"514"', '"1006"', '"175"', '"10"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],7,492,0.034,0.000328164705424
['"1416607447115"', '"995"', '"514"', '"994"', '"165"', '"10"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],7,480,0.0348,0.000335573445328
['"1416607448118"', '"1013"', '"515"', '"1012"', '"165"', '"10"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],8,497,0.0374,0.000327539275431
['"1416607449118"', '"996"', '"515"', '"993"', '"155"', '"10"', '"2"', '"s0000"', '"507"', '"507"', '"508"'],8,478,0.0375,0.000338758999717
['"1416607450133"', '"1012"', '"515"', '"1012"', '"155"', '"11"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],8,497,0.038,0.000351557952002
['"1416607451141"', '"998"', '"515"', '"998"', '"145"', '"11"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],8,483,0.038,0.000372531135533
['"1416607452132"', '"1016"', '"516"', '"1016"', '"145"', '"11"', '"2"', '"s0000"', '"508"', '"508"', '"508"'],8,500,0.041,0.000388677834461
['"1416607453148"', '"995"', '"516"', '"994"', '"135"', '"11"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],9,478,0.043,0.000397454324088
['"1416607454147"', '"1013"', '"516"', '"1010"', '"135"', '"11"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],9,494,0.044,0.000408988660051
['"1416607455159"', '"986"', '"516"', '"985"', '"125"', '"12"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],9,469,0.044,0.000415660040226
['"1416607456163"', '"1004"', '"517"', '"1004"', '"125"', '"12"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],10,487,0.047,0.000418755125371
['"1416607457170"', '"1022"', '"517"', '"1019"', '"125"', '"12"', '"2"', '"s0000"', '"507"', '"508"', '"509"'],9,502,0.0475,0.000433437061513
['"1416607458186"', '"994"', '"517"', '"993"', '"115"', '"12"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],10,476,0.049,0.000425710384397
['"1416607459197"', '"1006"', '"518"', '"1005"', '"115"', '"12"', '"2"', '"s0000"', '"507"', '"507"', '"509"'],11,487,0.051,0.000437171675853
['"1416607460201"', '"1022"', '"518"', '"1018"', '"115"', '"13"', '"2"', '"s0000"', '"508"', '"507"', '"509"'],11,500,0.0525,0.000448300755962
['"1416607461201"', '"988"', '"518"', '"987"', '"105"', '"13"', '"2"', '"s0000"', '"507"', '"507"', '"508"'],11,469,0.0535,0.000462215766362
